Record Date,Country - Currency Description,Exchange Rate,Effective Date
2024-12-31,Afghanistan-Afghani,70.35,2024-12-31
2024-09-30,Afghanistan-Afghani,68.46,2024-09-30
2024-06-30,Afghanistan-Afghani,70.96,2024-06-30
2024-03-31,Afghanistan-Afghani,71.2,2024-03-31
2023-12-31,Afghanistan-Afghani,70.54,2023-12-31
2023-09-30,Afghanistan-Afghani,69.39,2023-11-30
2023-09-30,Afghanistan-Afghani,77.86,2023-09-30
2023-06-30,Afghanistan-Afghani,85.95,2023-06-30
2023-03-31,Afghanistan-Afghani,86.75,2023-03-31
2022-12-31,Afghanistan-Afghani,89.11,2022-12-31
2022-09-30,Afghanistan-Afghani,88.04,2022-09-30
2022-06-30,Afghanistan-Afghani,87.68,2022-06-30
2022-03-31,Afghanistan-Afghani,88.62,2022-03-31
2021-12-31,Afghanistan-Afghani,91.39,2022-02-15
2021-12-31,Afghanistan-Afghani,103.4,2021-12-31
2021-09-30,Afghanistan-Afghani,124.15,2021-12-15
2021-09-30,Afghanistan-Afghani,87.88,2021-09-30
2021-06-30,Afghanistan-Afghani,87.84,2021-08-31
2021-06-30,Afghanistan-Afghani,79.15,2021-06-30
2021-03-31,Afghanistan-Afghani,77.1,2021-03-31
2020-12-31,Afghanistan-Afghani,77.09,2020-12-31
2020-09-30,Afghanistan-Afghani,76.97,2020-09-30
2020-06-30,Afghanistan-Afghani,75.487,2020-06-30
2020-03-31,Afghanistan-Afghani,75.586,2020-03-31
2019-12-31,Afghanistan-Afghani,77.625,2019-12-31
2019-09-30,AFGHANISTAN-AFGHANI,77.53,2019-09-30
2019-06-30,AFGHANISTAN-AFGHANI,79.912,2019-06-30
2019-03-31,AFGHANISTAN-AFGHANI,74.78,2019-03-31
2018-12-31,AFGHANISTAN-AFGHANI,74.576,2018-12-31
2018-09-30,AFGHANISTAN-AFGHANI,75.1,2018-09-30
2018-06-30,AFGHANISTAN-AFGHANI,71.55,2018-06-30
2018-03-31,AFGHANISTAN-AFGHANI,69.0,2018-03-31
2017-12-31,AFGHANISTAN-AFGHANI,69.32,2017-12-31
2017-09-30,AFGHANISTAN-AFGHANI,65.15,2017-09-30
2017-06-30,AFGHANISTAN-AFGHANI,67.95,2017-06-30
2017-03-31,AFGHANISTAN-AFGHANI,67.55,2017-03-31
2016-12-31,AFGHANISTAN-AFGHANI,66.5,2016-12-31
2016-09-30,AFGHANISTAN-AFGHANI,65.35,2016-09-30
2016-06-30,AFGHANISTAN-AFGHANI,68.22,2016-06-30
2016-03-31,AFGHANISTAN-AFGHANI,68.45,2016-03-31
2015-12-31,AFGHANISTAN-AFGHANI,67.9,2015-12-31
2015-09-30,AFGHANISTAN-AFGHANI,63.8,2015-09-30
2015-06-30,AFGHANISTAN-AFGHANI,60.26,2015-06-30
2015-03-31,AFGHANISTAN-AFGHANI,57.34,2015-03-31
2024-12-31,Albania-Lek,93.85,2024-12-31
2024-09-30,Albania-Lek,87.85,2024-09-30
2024-06-30,Albania-Lek,93.45,2024-06-30
2024-03-31,Albania-Lek,94.92,2024-03-31
2023-12-31,Albania-Lek,93.23,2023-12-31
2023-09-30,Albania-Lek,100.05,2023-09-30
2023-06-30,Albania-Lek,97.55,2023-06-30
2023-03-31,Albania-Lek,103.77,2023-03-31
2022-12-31,Albania-Lek,106.5,2022-12-31
2022-09-30,Albania-Lek,118.93,2022-09-30
2022-06-30,Albania-Lek,114.45,2022-06-30
2022-03-31,Albania-Lek,109.15,2022-03-31
2021-12-31,Albania-Lek,105.95,2021-12-31
2021-09-30,Albania-Lek,104.8,2021-09-30
2021-06-30,Albania-Lek,103.0,2021-06-30
2021-03-31,Albania-Lek,104.65,2021-03-31
2020-12-31,Albania-Lek,100.35,2020-12-31
2020-09-30,Albania-Lek,105.75,2020-09-30
2020-06-30,Albania-Lek,110.65,2020-06-30
2020-03-31,Albania-Lek,116.45,2020-03-31
2019-12-31,Albania-Lek,108.21,2019-12-31
2019-09-30,ALBANIA-LEK,111.35,2019-09-30
2019-06-30,ALBANIA-LEK,107.6,2019-06-30
2019-03-31,ALBANIA-LEK,111.24,2019-03-31
2018-12-31,ALBANIA-LEK,107.05,2018-12-31
2018-09-30,ALBANIA-LEK,108.9,2018-09-30
2018-06-30,ALBANIA-LEK,107.75,2018-06-30
2018-03-31,ALBANIA-LEK,105.35,2018-03-31
2017-12-31,ALBANIA-LEK,110.6,2017-12-31
2017-09-30,ALBANIA-LEK,113.15,2017-09-30
2017-06-30,ALBANIA-LEK,116.0,2017-06-30
2017-03-31,ALBANIA-LEK,126.75,2017-03-31
2016-12-31,ALBANIA-LEK,128.25,2016-12-31
2016-09-30,ALBANIA-LEK,122.77,2016-09-30
2016-06-30,ALBANIA-LEK,123.16,2016-06-30
2016-03-31,ALBANIA-LEK,121.35,2016-03-31
2015-12-31,ALBANIA-LEK,125.54,2015-12-31
2015-09-30,ALBANIA-LEK,123.99,2015-09-30
2015-06-30,ALBANIA-LEK,125.03,2015-06-30
2015-03-31,ALBANIA-LEK,130.25,2015-03-31
2024-12-31,Algeria-Dinar,135.103,2024-12-31
2024-09-30,Algeria-Dinar,131.49,2024-09-30
2024-06-30,Algeria-Dinar,134.264,2024-06-30
2024-03-31,Algeria-Dinar,134.137,2024-03-31
2023-12-31,Algeria-Dinar,134.051,2023-12-31
2023-09-30,Algeria-Dinar,137.067,2023-09-30
2023-06-30,Algeria-Dinar,135.657,2023-06-30
2023-03-31,Algeria-Dinar,135.132,2023-03-31
2022-12-31,Algeria-Dinar,136.467,2022-12-31
2022-09-30,Algeria-Dinar,140.422,2022-09-30
2022-06-30,Algeria-Dinar,146.158,2022-06-30
2022-03-31,Algeria-Dinar,142.42,2022-03-31
2021-12-31,Algeria-Dinar,138.284,2021-12-31
2021-09-30,Algeria-Dinar,136.61,2021-09-30
2021-06-30,Algeria-Dinar,133.82,2021-06-30
2021-03-31,Algeria-Dinar,133.29,2021-03-31
2020-12-31,Algeria-Dinar,132.212,2020-12-31
2020-09-30,Algeria-Dinar,129.12,2020-09-30
2020-06-30,Algeria-Dinar,129.208,2020-06-30
2020-03-31,Algeria-Dinar,124.55,2020-03-31
2019-12-31,Algeria-Dinar,118.78,2019-12-31
2019-09-30,ALGERIA-DINAR,120.43,2019-09-30
2019-06-30,ALGERIA-DINAR,118.571,2019-06-30
2019-03-31,ALGERIA-DINAR,119.06,2019-03-31
2018-12-31,ALGERIA-DINAR,117.898,2018-12-31
2018-09-30,ALGERIA-DINAR,117.935,2018-09-30
2018-06-30,ALGERIA-DINAR,117.454,2018-06-30
2018-03-31,ALGERIA-DINAR,113.798,2018-03-31
2017-12-31,ALGERIA-DINAR,114.659,2017-12-31
2017-09-30,ALGERIA-DINAR,113.007,2017-09-30
2017-06-30,ALGERIA-DINAR,107.643,2017-06-30
2017-03-31,ALGERIA-DINAR,109.592,2017-03-31
2016-12-31,ALGERIA-DINAR,110.018,2016-12-31
2016-09-30,ALGERIA-DINAR,109.35,2016-09-30
2016-06-30,ALGERIA-DINAR,109.866,2016-06-30
2016-03-31,ALGERIA-DINAR,108.301,2016-03-31
