"Date","GasPrice","Storage","Consumption","ElecPrice"
"Oct 2024",4.08,3943544,2435592,2.71
"Sep 2024",4.2,3616102,2426577,2.46
"Aug 2024",4.21,3370259,2720488,2.31
"Jul 2024",4.56,3293618,2747462,2.59
"Jun 2024",4.39,3174997,2432767,2.79
"May 2024",3.69,2923215,2335657,2.35
"Apr 2024",3.35,2562487,2398137,2.12
"Mar 2024",4.01,2306094,2801396,2.29
"Feb 2024",4.54,2349718,2974228,3.01
"Jan 2024",4.77,2611403,3706828,5.07
"Dec 2023",4.44,3457481,3177664,3.42
"Nov 2023",4.37,3742245,2831179,3.52
"Oct 2023",4.11,3809382,2446479,3.02
"Sep 2023",4.9,3489832,2381571,2.95
"Aug 2023",4.86,3167947,2678693,3.02
"Jul 2023",4.82,3035197,2672427,3.07
"Jun 2023",4.54,2901662,2369141,2.67
"May 2023",4.01,2576481,2320224,2.63
"Apr 2023",4.31,2116462,2428299,2.81
"Mar 2023",5.11,1849895,3026453,3.51
"Feb 2023",6.57,2072184,2964535,4.64
"Jan 2023",9.12,2470015,3322752,7.5
"Dec 2022",8.11,2925381,3378941,9.35
"Nov 2022",6.72,3501050,2768946,5.84
"Oct 2022",6.79,3569385,2362424,5.94
"Sep 2022",9.69,3145644,2293531,8.37
"Aug 2022",10.2,2709422,2566702,9.25
"Jul 2022",8.79,2505123,2589602,7.73
"Jun 2022",9.91,2325322,2317094,8.14
"May 2022",8.21,2001916,2240224,7.68
"Apr 2022",6.32,1611766,2358188,6.28
"Mar 2022",5.55,1401466,2781768,5.19
"Feb 2022",5.78,1562019,3052434,6.16
"Jan 2022",5.48,2215941,3582058,6.41
"Dec 2021",5.87,3209983,3008222,5.91
"Nov 2021",6.04,3532776,2684978,5.98
"Oct 2021",6.43,3665385,2259328,5.88
"Sep 2021",5.95,3305982,2138211,5.23
"Aug 2021",5.72,2917268,2436266,4.59
"Jul 2021",5.58,2754715,2417590,4.23
"Jun 2021",5.05,2585126,2242031,3.66
"May 2021",4.34,2389892,2116420,3.39
"Apr 2021",3.92,1975034,2271622,3.19
"Mar 2021",4.09,1801225,2640102,3.44
"Feb 2021",12.1,1859218,3095717,18.06
"Jan 2021",3.27,2634968,3335219,3.35
"Dec 2020",3.57,3340981,3188152,3.3
"Nov 2020",3.81,3931616,2446546,3.09
"Oct 2020",3.5,3928504,2320505,2.58
"Sep 2020",4.07,3839836,2156948,2.49
"Aug 2020",4.09,3522216,2404283,2.5
"Jul 2020",3.92,3293550,2468300,2.14
"Jun 2020",3.81,3133096,2134224,2.1
"May 2020",3.31,2777585,2076671,2.26
"Apr 2020",3.05,2332493,2263569,2.2
"Mar 2020",3.25,2029360,2725503,2.23
"Feb 2020",3.09,2080883,3062299,2.5
"Jan 2020",3.26,2616176,3327245,2.74
"Dec 2019",3.5,3188243,3170717,3.04
"Nov 2019",3.46,3610029,2783754,3.08
"Oct 2019",3.42,3762043,2306544,2.58
"Sep 2019",4.07,3414939,2206252,2.68
"Aug 2019",4.15,2997810,2433924,2.5
"Jul 2019",4.17,2714197,2393904,2.63
"Jun 2019",4.17,2460748,2119341,2.66
"May 2019",3.66,2031031,2133985,2.85
"Apr 2019",3.72,1559402,2212386,2.99
"Mar 2019",4.07,1184891,2927812,3.6
"Feb 2019",3.91,1426210,3019120,3.78
"Jan 2019",4.03,1993997,3424302,4.16
"Dec 2018",4.72,2708318,2999510,4.89
"Nov 2018",4.28,3030079,2715942,4.34
"Oct 2018",4.1,3236255,2285854,3.52
"Sep 2018",4.72,2950368,2156063,3.23
"Aug 2018",5.25,2616841,2313836,3.39
"Jul 2018",4.5,2381269,2350719,3.35
"Jun 2018",4.49,2195227,2063144,3.23
"May 2018",4.14,1847454,2055019,3.16
"Apr 2018",3.65,1426800,2350481,3.26
"Mar 2018",3.69,1390280,2796708,3.32
"Feb 2018",3.99,1672663,2710719,3.75
"Jan 2018",4.36,2140557,3340935,5.38
"Dec 2017",4,3032602,3086015,3.81
"Nov 2017",3.97,3709263,2357258,3.5
"Oct 2017",4.03,3816497,2031510,3.24
"Sep 2017",4.52,3567228,1920466,3.27
"Aug 2017",4.61,3249896,2093773,3.24
"Jul 2017",4.73,3054151,2141595,3.32
"Jun 2017",4.82,2906809,1910441,3.4
"May 2017",4.42,2626507,1892010,3.61
"Apr 2017",4.2,2291250,1932042,3.5
"Mar 2017",3.84,2062505,2523331,3.51
"Feb 2017",4.13,2337331,2340217,3.72
"Jan 2017",4.21,2622159,2913823,4.31
"Dec 2016",3.96,3296944,2866273,4.15
"Nov 2016",3.9,3976581,2159445,3.14
"Oct 2016",4.19,4012723,1925203,3.23
"Sep 2016",4.6,3705161,1947752,3.18
"Aug 2016",4.33,3441325,2208375,3.07
"Jul 2016",4.42,3318139,2186616,3.07
"Jun 2016",3.84,3186033,2000656,2.77
"May 2016",3.44,2966266,1965799,2.49
"Apr 2016",3.22,2645560,2083848,2.52
"Mar 2016",3.49,2486323,2356298,2.33
"Feb 2016",3.48,2534293,2652260,2.83
"Jan 2016",3.39,2938089,3091695,3.18
"Dec 2015",3.75,3666632,2588168,2.72
"Nov 2015",3.69,3926822,2249140,2.78
"Oct 2015",4,3942279,1987310,3.04
"Sep 2015",4.56,3614081,1901337,3.2
"Aug 2015",4.59,3241632,2052728,3.23
"Jul 2015",4.65,2924427,2067714,3.23
"Jun 2015",4.44,2646533,1899906,3.25
"May 2015",4.25,2287238,1858149,3.28
"Apr 2015",3.93,1793086,2007922,3.24
"Mar 2015",4.35,1471476,2591329,3.71
"Feb 2015",4.57,1665549,2925172,5.02
"Jan 2015",4.48,2407122,3114982,4.31
"Dec 2014",5.15,3141222,2679165,4.5
"Nov 2014",4.91,3426869,2357521,4.68
"Oct 2014",5.16,3587270,1912810,4.23
"Sep 2014",5.51,3187016,1809291,4.34
"Aug 2014",5.49,2768398,1933061,4.25
"Jul 2014",5.99,2399974,1881017,4.58
"Jun 2014",6.05,2005475,1745351,4.99
"May 2014",5.9,1547944,1810222,5.09
"Apr 2014",5.64,1066380,1961678,5.25
"Mar 2014",6.57,857311,2557890,6.29
"Feb 2014",6.41,1199987,2741240,7.8
"Jan 2014",5.56,1924922,3204129,7.46
"Dec 2013",4.93,2889892,2920826,5.11
"Nov 2013",4.78,3605337,2316909,4.36
"Oct 2013",4.88,3816996,1866762,4.26
"Sep 2013",5.21,3564505,1766973,4.22
"Aug 2013",5.24,3212006,1927379,4.03
"Jul 2013",5.51,2936860,1926330,4.34
"Jun 2013",5.74,2642648,1742917,4.56
"May 2013",5.55,2269564,1752469,4.79
"Apr 2013",5.16,1855188,1967458,4.84
"Mar 2013",4.75,1719845,2521108,4.5
"Feb 2013",4.56,2099354,2567155,4.59
"Jan 2013",4.52,2699227,2878785,4.56
"Dec 2012",4.79,3412910,2503907,4.35
"Nov 2012",4.79,3799215,2167841,4.43
"Oct 2012",4.65,3929250,1901084,4
"Sep 2012",4.76,3693053,1807208,3.54
"Aug 2012",5.13,3406134,2008815,3.61
"Jul 2012",4.88,3245201,2069773,3.54
"Jun 2012",4.63,3115447,1868356,3.21
"May 2012",4.3,2887060,1873835,3.05
"Apr 2012",4.19,2611226,1953071,2.81
"Mar 2012",4.84,2473130,2127761,3.09
"Feb 2012",4.73,2448810,2500654,3.46
"Jan 2012",4.85,2910007,2756180,3.82
"Dec 2011",5.03,3462021,2541878,4.18
"Nov 2011",5.29,3842882,2031872,4.26
"Oct 2011",5.45,3803828,1744454,4.49
"Sep 2011",5.94,3415698,1655634,4.71
"Aug 2011",6.19,3019155,1891783,4.85
"Jul 2011",6.16,2775346,1890515,5.13
"Jun 2011",6.12,2529647,1657334,5.2
"May 2011",5.8,2186855,1667396,5.04
"Apr 2011",5.62,1788480,1825023,5.03
"Mar 2011",5.73,1577007,2230493,4.84
"Feb 2011",5.75,1721875,2452403,5.29
"Jan 2011",5.69,2305843,2888640,5.66
"Dec 2010",5.74,3111085,2714054,5.68
"Nov 2010",5.48,3768905,1973294,4.55
"Oct 2010",5.7,3850641,1664938,4.45
"Sep 2010",5.72,3507646,1637491,4.61
"Aug 2010",6.22,3152761,1878926,5.06
"Jul 2010",6.31,2965780,1825828,5.34
"Jun 2010",6.02,2740056,1649515,5.31
"May 2010",5.81,2419660,1617274,4.96
"Apr 2010",5.88,2011101,1691813,4.91
"Mar 2010",6.5,1652413,2142925,5.47
"Feb 2010",6.64,1683334,2480950,6.27
"Jan 2010",6.84,2303858,2809788,6.98
"Dec 2009",6.22,3130076,2491864,6.24
"Nov 2009",6.34,3837424,1776171,5.06
"Oct 2009",5.65,3809867,1666520,5.04
"Sep 2009",5.37,3645978,1574975,4.02
"Aug 2009",5.61,3359118,1736462,4.3
"Jul 2009",5.7,3090305,1657997,4.47
"Jun 2009",5.55,2760133,1527833,4.62
"May 2009",5.49,2374809,1504000,4.7
"Apr 2009",5.71,1909916,1741293,4.7
"Mar 2009",6.85,1659646,2170709,4.92
"Feb 2009",7.26,1758022,2332539,5.62
"Jan 2009",7.97,2133233,2729715,6.62
"Dec 2008",8.16,2840363,2399702,6.9
"Nov 2008",7.93,3345911,1868947,6.64
"Oct 2008",7.8,3399381,1635827,6.74
"Sep 2008",8.99,3160918,1460924,7.81
"Aug 2008",10.2,2866164,1682924,8.97
"Jul 2008",12.48,2517023,1708641,11.71
"Jun 2008",11.85,2177548,1604249,12.41
"May 2008",11.05,1839543,1576387,10.97
"Apr 2008",9.84,1436402,1823867,10.19
"Mar 2008",9.49,1266066,2278151,9.53
"Feb 2008",8.91,1464690,2503421,8.87
"Jan 2008",8.37,2055881,2733970,8.52
"Dec 2007",8.27,2879259,2399154,7.93
"Nov 2007",8.14,3442033,1834529,7.28
"Oct 2007",7.43,3565380,1627791,7
"Sep 2007",7,3315434,1590484,6.33
"Aug 2007",7.6,3020799,1896137,6.83
"Jul 2007",8.02,2896255,1659882,7.03
"Jun 2007",8.45,2582784,1555226,7.8
"May 2007",8.41,2181239,1559080,7.96
"Apr 2007",8.2,1722741,1810079,7.77
"Mar 2007",8.79,1603002,2128845,7.64
"Feb 2007",8.57,1651569,2566993,8.18
"Jan 2007",7.88,2382895,2475594,7.08
"Dec 2006",8.66,3069956,2122784,7.57
"Nov 2006",8.47,3406652,1765375,7.48
"Oct 2006",6.42,3452241,1644231,5.76
"Sep 2006",7.68,3323178,1462070,6.27
"Aug 2006",8.1,2969223,1751683,7.56
"Jul 2006",7.4,2779211,1758733,6.69
"Jun 2006",7.39,2616647,1550879,6.69
"May 2006",7.99,2309943,1526297,6.89
"Apr 2006",8.29,1945276,1681005,7.32
"Mar 2006",8.81,1691737,2126369,7.36
"Feb 2006",9.34,1886240,2144378,8
"Jan 2006",10.8,2371047,2165268,9.15
"Dec 2005",10.77,2635360,2326360,11.26
"Nov 2005",11.57,3189160,1663400,9.87
"Oct 2005",12.16,3194104,1428227,11.84
"Sep 2005",10.26,2931698,1422495,10.99
"Aug 2005",8.2,2662261,1695102,8.67
"Jul 2005",7.68,2450169,1686609,7.57
"Jun 2005",7.3,2197491,1534122,7.08
"May 2005",7.51,1875151,1522613,6.83
"Apr 2005",7.79,1498643,1724877,7.27
"Mar 2005",7.24,1284370,2205787,6.84
"Feb 2005",7.09,1564462,2242986,6.42
"Jan 2005",7.05,1993943,2561858,6.72
"Dec 2004",7.49,2696075,2327730,6.88
"Nov 2004",7.5,3244547,1782796,6.71
"Oct 2004",6.3,3302235,1557224,6.05
"Sep 2004",6.06,3056550,1482150,5.39
"Aug 2004",6.51,2742614,1577962,5.97
"Jul 2004",6.68,2394569,1584933,6.24
"Jun 2004",6.94,2022935,1483684,6.52
"May 2004",6.48,1623759,1573043,6.3
"Apr 2004",6.31,1252455,1745171,5.74
"Mar 2004",6.23,1058411,2100921,5.5
"Feb 2004",6.35,1155757,2511097,5.76
"Jan 2004",6.41,1751044,2675834,6.37
"Dec 2003",5.89,2562619,2263659,5.69
"Nov 2003",5.54,3037956,1753642,4.85
"Oct 2003",5.33,3130211,1553189,4.98
"Sep 2003",5.58,2845276,1428554,5.12
"Aug 2003",5.48,2435746,1651580,5.23
"Jul 2003",5.83,2125887,1600484,5.45
"Jun 2003",6.4,1765182,1368369,6.08
"May 2003",5.69,1297563,1514697,5.7
"Apr 2003",5.6,893321,1743530,5.38
"Mar 2003",7.63,730055,2197936,7.05
"Feb 2003",5.83,850501,2500315,6.47
"Jan 2003",5.28,1522318,2700545,5.33
"Dec 2002",4.74,2375233,2378895,4.72
"Nov 2002",4.65,2928627,1913629,4.35
"Oct 2002",4.32,3115902,1645873,4.19
"Sep 2002",3.99,3041639,1542170,3.71
"Aug 2002",3.67,2773379,1725712,3.42
"Jul 2002",3.95,2538634,1748435,3.49
"Jun 2002",4.15,2308175,1591373,3.61
"May 2002",4.07,1968125,1611453,3.78
"Apr 2002",4.21,1658541,1880985,3.8
"Mar 2002",3.84,1517794,2258431,3.37
"Feb 2002",3.76,1837865,2242427,2.86
"Jan 2002",3.79,2343861,2487638,3.1
"Dec 2001",3.9,2903514,2120198,NA
"Nov 2001",4.02,3254099,1700950,NA
"Oct 2001",3.37,3143972,1649073,NA
"Sep 2001",3.66,2944267,1494128,NA
"Aug 2001",4.32,2575798,1669178,NA
"Jul 2001",4.03,2260763,1598071,NA
"Jun 2001",5.38,1882431,1444378,NA
"May 2001",5.77,1440096,1522382,NA
"Apr 2001",6.3,992263,1807170,NA
"Mar 2001",6.1,741551,2246633,NA
"Feb 2001",7.08,912366,2309464,NA
"Jan 2001",8.91,1265496,2676998,NA
"Dec 2000",6.64,1718926,NA,NA
"Nov 2000",5.2,2442194,NA,NA
"Oct 2000",5.66,2732267,NA,NA
"Sep 2000",5.21,2494292,NA,NA
"Aug 2000",4.63,2198996,NA,NA
"Jul 2000",5.2,2002698,NA,NA
"Jun 2000",5.19,1717307,NA,NA
"May 2000",4.15,1433100,NA,NA
"Apr 2000",3.72,1202518,NA,NA
"Mar 2000",3.54,1153219,NA,NA
"Feb 2000",3.48,1303564,NA,NA
"Jan 2000",3.27,1760467,NA,NA
"Dec 1999",3.19,2523186,NA,NA
"Nov 1999",3.71,3065388,NA,NA
"Oct 1999",3.21,3073445,NA,NA
"Sep 1999",3.59,2922862,NA,NA
"Aug 1999",3.39,2610196,NA,NA
"Jul 1999",3.11,2379142,NA,NA
"Jun 1999",3.12,2149270,NA,NA
"May 1999",3.25,1834678,NA,NA
"Apr 1999",2.88,1495274,NA,NA
"Mar 1999",2.77,1405815,NA,NA
"Feb 1999",2.92,1745681,NA,NA
"Jan 1999",2.85,2072829,NA,NA
"Dec 1998",3.1,2729704,NA,NA
"Nov 1998",2.99,3154963,NA,NA
"Oct 1998",2.99,3191256,NA,NA
"Sep 1998",2.78,2927750,NA,NA
"Aug 1998",3.01,2698034,NA,NA
"Jul 1998",3.31,2427867,NA,NA
"Jun 1998",2.98,2113570,NA,NA
"May 1998",3.12,1773540,NA,NA
"Apr 1998",3.23,1386101,NA,NA
"Mar 1998",3.06,1182845,NA,NA
"Feb 1998",3.08,1426200,NA,NA
"Jan 1998",3.08,1712114,NA,NA
"Dec 1997",3.42,2174520,NA,NA
"Nov 1997",4.76,2698886,NA,NA
"Oct 1997",3.86,2885777,NA,NA
"Sep 1997",3.5,2672309,NA,NA
"Aug 1997",3.34,2337912,NA,NA
"Jul 1997",3.44,2016537,NA,NA
"Jun 1997",3.41,1731133,NA,NA
"May 1997",3.11,1364797,NA,NA
"Apr 1997",2.92,1051235,NA,NA
"Mar 1997",3.07,990433,NA,NA
"Feb 1997",3.76,1139422,NA,NA
"Jan 1997",4.28,1495563,NA,NA
"Dec 1996",4.18,2172551,NA,NA
"Nov 1996",3.46,2549137,NA,NA
"Oct 1996",2.94,2810476,NA,NA
"Sep 1996",3.05,2604981,NA,NA
"Aug 1996",3.46,2244504,NA,NA
"Jul 1996",3.49,1897649,NA,NA
"Jun 1996",3.41,1529125,NA,NA
"May 1996",3.18,1161115,NA,NA
"Apr 1996",3.22,853961,NA,NA
"Mar 1996",3.17,757995,NA,NA
"Feb 1996",3.16,1020582,NA,NA
"Jan 1996",3.14,1462468,NA,NA
"Dec 1995",2.83,2153273,NA,NA
"Nov 1995",2.67,2728482,NA,NA
"Oct 1995",2.83,2996028,NA,NA
"Sep 1995",2.89,2802218,NA,NA
"Aug 1995",2.87,2494671,NA,NA
"Jul 1995",2.89,2301292,NA,NA
"Jun 1995",2.89,2014016,NA,NA
"May 1995",2.8,1668338,NA,NA
"Apr 1995",2.72,1379280,NA,NA
"Mar 1995",2.74,1331821,NA,NA
"Feb 1995",2.71,1541669,NA,NA
"Jan 1995",2.79,2045280,NA,NA
"Dec 1994",2.86,2606056,NA,NA
"Nov 1994",2.84,2977681,NA,NA
"Oct 1994",2.8,3074847,NA,NA
"Sep 1994",2.92,2912086,NA,NA
"Aug 1994",3.15,2606586,NA,NA
"Jul 1994",3.12,2273447,NA,NA
"Jun 1994",3.17,1896420,NA,NA
"May 1994",3.17,1554369,NA,NA
"Apr 1994",3.15,1171850,NA,NA
"Mar 1994",3.33,957857,NA,NA
"Feb 1994",3.26,1090594,NA,NA
"Jan 1994",3.04,1579382,NA,NA
"Dec 1993",3.27,2321780,NA,NA
"Nov 1993",3.15,2762230,NA,NA
"Oct 1993",3.15,2977971,NA,NA
"Sep 1993",3.54,2883878,NA,NA
"Aug 1993",3.35,2554159,NA,NA
"Jul 1993",3.34,2240336,NA,NA
"Jun 1993",3.44,1894528,NA,NA
"May 1993",3.58,1520927,NA,NA
"Apr 1993",3.24,1120385,NA,NA
"Mar 1993",3.06,1028814,NA,NA
"Feb 1993",2.94,1302720,NA,NA
"Jan 1993",3.11,1826510,NA,NA
"Dec 1992",3.17,2596797,NA,NA
"Nov 1992",3.33,3053853,NA,NA
"Oct 1992",3.5,3223217,NA,NA
"Sep 1992",3.23,3044070,NA,NA
"Aug 1992",3.18,2761211,NA,NA
"Jul 1992",3.01,2459804,NA,NA
"Jun 1992",3,2152679,NA,NA
"May 1992",2.9,1848147,NA,NA
"Apr 1992",2.74,1573153,NA,NA
"Mar 1992",2.61,1544626,NA,NA
"Feb 1992",2.7,1837489,NA,NA
"Jan 1992",2.9,2215656,NA,NA
"Dec 1991",3.05,2823542,NA,NA
"Nov 1991",2.92,3147855,NA,NA
"Oct 1991",2.92,3368816,NA,NA
"Sep 1991",2.91,3201378,NA,NA
"Aug 1991",2.78,2978493,NA,NA
"Jul 1991",2.74,2771080,NA,NA
"Jun 1991",2.86,2552910,NA,NA
"May 1991",2.76,2272809,NA,NA
"Apr 1991",2.74,2036642,NA,NA
"Mar 1991",2.78,1911709,NA,NA
"Feb 1991",2.94,2063355,NA,NA
"Jan 1991",3.08,2361980,NA,NA
"Dec 1990",3.19,3068000,NA,NA
"Nov 1990",3.14,3472000,NA,NA
"Oct 1990",2.81,3467000,NA,NA
"Sep 1990",2.92,3321000,NA,NA
"Aug 1990",2.91,3071000,NA,NA
"Jul 1990",3.03,2791000,NA,NA
