"YearMonth","GasPrice","Storage","Consumption","ElecPrice","OilPrice"
"1986-01",3.52,2213000,NA,NA,22.9254545454545
"1986-02",3.52,1872000,NA,NA,15.4547368421053
"1986-03",3.5,1764000,NA,NA,12.6125
"1986-04",3.33,1841000,NA,NA,12.8436363636364
"1986-05",3.15,2076000,NA,NA,15.377619047619
"1986-06",3.11,2323000,NA,NA,13.4257142857143
"1986-07",3.08,2570000,NA,NA,11.5845454545455
"1986-08",3.04,2842000,NA,NA,15.0966666666667
"1986-09",3.02,3066000,NA,NA,14.8666666666667
"1986-10",2.94,3208000,NA,NA,14.8968181818182
"1986-11",2.9,3077000,NA,NA,15.2215789473684
"1986-12",2.99,2749000,NA,NA,16.107619047619
"1987-01",2.98,2280000,NA,NA,18.6514285714286
"1987-02",3.03,1988000,NA,NA,17.7489473684211
"1987-03",2.91,1879000,NA,NA,18.3028571428571
"1987-04",2.86,1938000,NA,NA,18.6771428571429
"1987-05",2.81,2206000,NA,NA,19.4375
"1987-06",2.84,2437000,NA,NA,20.0731818181818
"1987-07",2.92,2636000,NA,NA,21.3421739130435
"1987-08",2.89,2836000,NA,NA,20.3109523809524
"1987-09",2.83,3049000,NA,NA,19.53
"1987-10",2.69,3106000,NA,NA,19.8590909090909
"1987-11",2.76,3059000,NA,NA,18.854
"1987-12",2.84,2756000,NA,NA,17.2745454545455
"1988-01",2.91,2228000,NA,NA,17.1295
"1988-02",2.95,1827000,NA,NA,16.7957142857143
"1988-03",2.87,1682000,NA,NA,16.1973913043478
"1988-04",2.79,1769000,NA,NA,17.8625
"1988-05",2.75,2027000,NA,NA,17.4236363636364
"1988-06",2.87,2293000,NA,NA,16.5277272727273
"1988-07",2.87,2567000,NA,NA,15.4975
"1988-08",2.92,2835000,NA,NA,15.5234782608696
"1988-09",3.05,3120000,NA,NA,14.5354545454545
"1988-10",2.92,3243000,NA,NA,13.7704761904762
"1988-11",2.98,3171000,NA,NA,14.1413636363636
"1988-12",3.08,2850000,NA,NA,16.382380952381
"1989-01",3.17,2509000,NA,NA,18.0242857142857
"1989-02",3.1,1994000,NA,NA,17.9365
"1989-03",2.89,1776000,NA,NA,19.4840909090909
"1989-04",2.83,1823000,NA,NA,21.069
"1989-05",2.94,2062000,NA,NA,20.1234782608696
"1989-06",2.98,2374000,NA,NA,20.0504545454545
"1989-07",3.08,2644000,NA,NA,19.7814285714286
"1989-08",3.04,2938000,NA,NA,18.5778260869565
"1989-09",2.99,3187000,NA,NA,19.5914285714286
"1989-10",2.84,3268000,NA,NA,20.0977272727273
"1989-11",2.98,3199000,NA,NA,19.8559090909091
"1989-12",3.1,2513000,NA,NA,21.1
"1990-01",3.24,2270000,NA,NA,22.8631818181818
"1990-02",3.1,2004000,NA,NA,22.113
"1990-03",2.94,1875000,NA,NA,20.3877272727273
"1990-04",2.83,1946000,NA,NA,18.4255
"1990-05",2.81,2180000,NA,NA,18.1995454545455
"1990-06",3,2485000,NA,NA,16.6952380952381
"1990-07",3.03,2791000,NA,NA,18.4540909090909
"1990-08",2.91,3071000,NA,NA,27.3073913043478
"1990-09",2.92,3321000,NA,NA,33.5075
"1990-10",2.81,3467000,NA,NA,36.0395652173913
"1990-11",3.14,3472000,NA,NA,32.3322727272727
"1990-12",3.19,3068000,NA,NA,27.281
"1991-01",3.08,2361980,NA,NA,25.2340909090909
"1991-02",2.94,2063355,NA,NA,20.4775
"1991-03",2.78,1911709,NA,NA,19.9015
"1991-04",2.74,2036642,NA,NA,20.83
"1991-05",2.76,2272809,NA,NA,21.2322727272727
"1991-06",2.86,2552910,NA,NA,20.189
"1991-07",2.74,2771080,NA,NA,21.4030434782609
"1991-08",2.78,2978493,NA,NA,21.6936363636364
"1991-09",2.91,3201378,NA,NA,21.8865
"1991-10",2.92,3368816,NA,NA,23.2308695652174
"1991-11",2.92,3147855,NA,NA,22.4609523809524
"1991-12",3.05,2823542,NA,NA,19.4980952380952
"1992-01",2.9,2215656,NA,NA,18.7854545454545
"1992-02",2.7,1837489,NA,NA,19.0125
"1992-03",2.61,1544626,NA,NA,18.9218181818182
"1992-04",2.74,1573153,NA,NA,20.23
"1992-05",2.9,1848147,NA,NA,20.9755
"1992-06",3,2152679,NA,NA,22.3845454545455
"1992-07",3.01,2459804,NA,NA,21.7752173913043
"1992-08",3.18,2761211,NA,NA,21.3390476190476
"1992-09",3.23,3044070,NA,NA,21.8813636363636
"1992-10",3.5,3223217,NA,NA,21.6859090909091
"1992-11",3.33,3053853,NA,NA,20.3385
"1992-12",3.17,2596797,NA,NA,19.4140909090909
"1993-01",3.11,1826510,NA,NA,19.032
"1993-02",2.94,1302720,NA,NA,20.0861111111111
"1993-03",3.06,1028814,NA,NA,20.3221739130435
"1993-04",3.24,1120385,NA,NA,20.2525
"1993-05",3.58,1520927,NA,NA,19.9495
"1993-06",3.44,1894528,NA,NA,19.0940909090909
"1993-07",3.34,2240336,NA,NA,17.89
"1993-08",3.35,2554159,NA,NA,18.0109090909091
"1993-09",3.54,2883878,NA,NA,17.5042857142857
"1993-10",3.15,2977971,NA,NA,18.1533333333333
"1993-11",3.15,2762230,NA,NA,16.6090476190476
"1993-12",3.27,2321780,NA,NA,14.5147619047619
"1994-01",3.04,1579382,NA,NA,15.0266666666667
"1994-02",3.26,1090594,NA,NA,14.7810526315789
"1994-03",3.33,957857,NA,NA,14.6808695652174
"1994-04",3.15,1171850,NA,NA,16.42
"1994-05",3.17,1554369,NA,NA,17.8890476190476
"1994-06",3.17,1896420,NA,NA,19.06
"1994-07",3.12,2273447,NA,NA,19.6545
"1994-08",3.15,2606586,NA,NA,18.3834782608696
"1994-09",2.92,2912086,NA,NA,17.4457142857143
"1994-10",2.8,3074847,NA,NA,17.7161904761905
"1994-11",2.84,2977681,NA,NA,18.0695
"1994-12",2.86,2606056,NA,NA,17.1595238095238
"1995-01",2.79,2045280,NA,NA,18.0395238095238
"1995-02",2.71,1541669,NA,NA,18.57
"1995-03",2.74,1331821,NA,NA,18.5391304347826
"1995-04",2.72,1379280,NA,NA,19.8963157894737
"1995-05",2.8,1668338,NA,NA,19.7418181818182
"1995-06",2.89,2014016,NA,NA,18.4459090909091
"1995-07",2.89,2301292,NA,NA,17.3255
"1995-08",2.87,2494671,NA,NA,18.0208695652174
"1995-09",2.89,2802218,NA,NA,18.2255
"1995-10",2.83,2996028,NA,NA,17.4331818181818
"1995-11",2.67,2728482,NA,NA,17.9925
"1995-12",2.83,2153273,NA,NA,19.0265
"1996-01",3.14,1462468,NA,NA,18.8545454545455
"1996-02",3.16,1020582,NA,NA,19.0935
"1996-03",3.17,757995,NA,NA,21.332380952381
"1996-04",3.22,853961,NA,NA,23.4971428571429
"1996-05",3.18,1161115,NA,NA,21.1654545454545
"1996-06",3.41,1529125,NA,NA,20.4235
"1996-07",3.49,1897649,NA,NA,21.3022727272727
"1996-08",3.46,2244504,NA,NA,21.9031818181818
"1996-09",3.05,2604981,NA,NA,23.9715
"1996-10",2.94,2810476,NA,NA,24.8791304347826
"1996-11",3.46,2549137,NA,NA,23.705
"1996-12",4.18,2172551,NA,NA,25.2285714285714
"1997-01",4.28,1495563,NA,NA,25.1318181818182
"1997-02",3.76,1139422,NA,NA,22.1763157894737
"1997-03",3.07,990433,NA,NA,20.965
"1997-04",2.92,1051235,NA,NA,19.6954545454545
"1997-05",3.11,1364797,NA,NA,20.8190476190476
"1997-06",3.41,1731133,NA,NA,19.26
"1997-07",3.44,2016537,NA,NA,19.6636363636364
"1997-08",3.34,2337912,NA,NA,19.9528571428571
"1997-09",3.5,2672309,NA,NA,19.8033333333333
"1997-10",3.86,2885777,NA,NA,21.3252173913043
"1997-11",4.76,2698886,NA,NA,20.1938888888889
"1997-12",3.42,2174520,NA,NA,18.3327272727273
"1998-01",3.08,1712114,NA,NA,16.724
"1998-02",3.08,1426200,NA,NA,16.06
"1998-03",3.06,1182845,NA,NA,15.1154545454545
"1998-04",3.23,1386101,NA,NA,15.3538095238095
"1998-05",3.12,1773540,NA,NA,14.914
"1998-06",2.98,2113570,NA,NA,13.7218181818182
"1998-07",3.31,2427867,NA,NA,14.1727272727273
"1998-08",3.01,2698034,NA,NA,13.4719047619048
"1998-09",2.78,2927750,NA,NA,15.0314285714286
"1998-10",2.99,3191256,NA,NA,14.4609090909091
"1998-11",2.99,3154963,NA,NA,13.0021052631579
"1998-12",3.1,2729704,NA,NA,11.3472727272727
"1999-01",2.85,2072829,NA,NA,12.5147368421053
"1999-02",2.92,1745681,NA,NA,12.0136842105263
"1999-03",2.77,1405815,NA,NA,14.6765217391304
"1999-04",2.88,1495274,NA,NA,17.312380952381
"1999-05",3.25,1834678,NA,NA,17.7185
"1999-06",3.12,2149270,NA,NA,17.9231818181818
"1999-07",3.11,2379142,NA,NA,20.1033333333333
"1999-08",3.39,2610196,NA,NA,21.2786363636364
"1999-09",3.59,2922862,NA,NA,23.7966666666667
"1999-10",3.21,3073445,NA,NA,22.6914285714286
"1999-11",3.71,3065388,NA,NA,25.002380952381
"1999-12",3.19,2523186,NA,NA,26.102380952381
"2000-01",3.27,1760467,NA,NA,27.2594736842105
"2000-02",3.48,1303564,NA,NA,29.366
"2000-03",3.54,1153219,NA,NA,29.8417391304348
"2000-04",3.72,1202518,NA,NA,25.7221052631579
"2000-05",4.15,1433100,NA,NA,28.7881818181818
"2000-06",5.19,1717307,NA,NA,31.8222727272727
"2000-07",5.2,2002698,NA,NA,29.6968421052632
"2000-08",4.63,2198996,NA,NA,31.2639130434783
"2000-09",5.21,2494292,NA,NA,33.884
